step,portfolio_value,returns,cum_returns,drawdown
140,10000.0,0.0,0.0,0.0
141,10000.0,0.0,0.0,0.0
142,10000.0,0.0,0.0,0.0
143,10000.0,0.0,0.0,0.0
144,10000.0,0.0,0.0,0.0
145,10000.0,0.0,0.0,0.0
146,10000.0,0.0,0.0,0.0
147,10000.0,0.0,0.0,0.0
148,10000.0,0.0,0.0,0.0
149,10000.0,0.0,0.0,0.0
150,10000.0,0.0,0.0,0.0
151,10000.0,0.0,0.0,0.0
152,10000.0,0.0,0.0,0.0
153,10000.0,0.0,0.0,0.0
154,10000.0,0.0,0.0,0.0
155,10000.0,0.0,0.0,0.0
156,10000.0,0.0,0.0,0.0
157,10000.0,0.0,0.0,0.0
158,10000.0,0.0,0.0,0.0
159,10000.0,0.0,0.0,0.0
160,10000.0,0.0,0.0,0.0
161,10000.0,0.0,0.0,0.0
162,10000.0,0.0,0.0,0.0
163,10000.0,0.0,0.0,0.0
164,10000.0,0.0,0.0,0.0
165,10000.0,0.0,0.0,0.0
166,10000.0,0.0,0.0,0.0
167,10000.0,0.0,0.0,0.0
168,10000.0,0.0,0.0,0.0
169,10000.0,0.0,0.0,0.0
170,10000.0,0.0,0.0,0.0
171,10000.0,0.0,0.0,0.0
172,10000.0,0.0,0.0,0.0
173,10000.0,0.0,0.0,0.0
174,10000.0,0.0,0.0,0.0
175,10000.0,0.0,0.0,0.0
176,10000.0,0.0,0.0,0.0
177,10000.0,0.0,0.0,0.0
178,10000.0,0.0,0.0,0.0
179,10000.0,0.0,0.0,0.0
180,10000.0,0.0,0.0,0.0
181,10000.0,0.0,0.0,0.0
182,10000.0,0.0,0.0,0.0
183,10000.0,0.0,0.0,0.0
184,10000.0,0.0,0.0,0.0
185,10000.0,0.0,0.0,0.0
186,10000.0,0.0,0.0,0.0
187,10000.0,0.0,0.0,0.0
188,10000.0,0.0,0.0,0.0
189,10000.0,0.0,0.0,0.0
190,10000.0,0.0,0.0,0.0
191,10000.0,0.0,0.0,0.0
192,10000.0,0.0,0.0,0.0
193,10000.0,0.0,0.0,0.0
194,10000.0,0.0,0.0,0.0
195,10000.0,0.0,0.0,0.0
196,10000.0,0.0,0.0,0.0
197,10000.0,0.0,0.0,0.0
198,10000.0,0.0,0.0,0.0
199,10000.0,0.0,0.0,0.0
200,10000.0,0.0,0.0,0.0
201,10000.0,0.0,0.0,0.0
202,10000.0,0.0,0.0,0.0
203,10000.0,0.0,0.0,0.0
204,10000.0,0.0,0.0,0.0
205,10000.0,0.0,0.0,0.0
206,10000.0,0.0,0.0,0.0
207,10000.0,0.0,0.0,0.0
208,10000.0,0.0,0.0,0.0
209,10000.0,0.0,0.0,0.0
210,10000.0,0.0,0.0,0.0
211,10000.0,0.0,0.0,0.0
212,10000.0,0.0,0.0,0.0
213,10000.0,0.0,0.0,0.0
214,10000.0,0.0,0.0,0.0
215,10000.0,0.0,0.0,0.0
216,10000.0,0.0,0.0,0.0
217,10000.0,0.0,0.0,0.0
218,10000.0,0.0,0.0,0.0
219,10000.0,0.0,0.0,0.0
220,10000.0,0.0,0.0,0.0
221,10000.0,0.0,0.0,0.0
222,10000.0,0.0,0.0,0.0
223,10000.0,0.0,0.0,0.0
224,10000.0,0.0,0.0,0.0
225,10000.0,0.0,0.0,0.0
226,10000.0,0.0,0.0,0.0
227,10000.0,0.0,0.0,0.0
228,10000.0,0.0,0.0,0.0
229,10000.0,0.0,0.0,0.0
230,10000.0,0.0,0.0,0.0
231,10000.0,0.0,0.0,0.0
232,10000.0,0.0,0.0,0.0
233,10000.0,0.0,0.0,0.0
234,10000.0,0.0,0.0,0.0
235,10000.0,0.0,0.0,0.0
236,10000.0,0.0,0.0,0.0
237,10000.0,0.0,0.0,0.0
238,10000.0,0.0,0.0,0.0
239,10000.0,0.0,0.0,0.0
240,10000.0,0.0,0.0,0.0
241,10000.0,0.0,0.0,0.0
242,10000.0,0.0,0.0,0.0
243,10000.0,0.0,0.0,0.0
244,10000.0,0.0,0.0,0.0
245,10000.0,0.0,0.0,0.0
246,10000.0,0.0,0.0,0.0
247,10000.0,0.0,0.0,0.0
248,10000.0,0.0,0.0,0.0
